issue_id,assignee_id,assignee_name
freshrelease:FreshreleaseIssue:2:10063,freshrelease:FreshreleaseAccount:2:5ecfbd0c730ec90c1999cadf,
freshrelease:FreshreleaseIssue:2:10064,freshrelease:FreshreleaseAccount:2:5ecfbd0c730ec90c1999cadf,
freshrelease:FreshreleaseIssue:2:10065,freshrelease:FreshreleaseAccount:2:5ecfbd0c730ec90c1999cadf,
freshrelease:FreshreleaseIssue:2:10066,freshrelease:FreshreleaseAccount:2:5ecfbd0c730ec90c1999cadf,
freshrelease:FreshreleaseIssue:2:10067,freshrelease:FreshreleaseAccount:2:5ecfbd0c730ec90c1999cadf,
freshrelease:FreshreleaseIssue:2:10068,freshrelease:FreshreleaseAccount:2:5ecfbd0c2490cf0c09e2e598,
freshrelease:FreshreleaseIssue:2:10070,freshrelease:FreshreleaseAccount:2:5ecfbd0ba04d9c0c220c18d8,
freshrelease:FreshreleaseIssue:2:10071,freshrelease:FreshreleaseAccount:2:5ecfbd0ba04d9c0c220c18d8,
freshrelease:FreshreleaseIssue:2:10072,freshrelease:FreshreleaseAccount:2:5ecfbd0ba04d9c0c220c18d8,
freshrelease:FreshreleaseIssue:2:10076,freshrelease:FreshreleaseAccount:2:5ecfbd0a47d31e0c2a15fd87,
freshrelease:FreshreleaseIssue:2:10077,freshrelease:FreshreleaseAccount:2:5ecfbd0a47d31e0c2a15fd87,
freshrelease:FreshreleaseIssue:2:10078,freshrelease:FreshreleaseAccount:2:5ecfbd0a47d31e0c2a15fd87,
freshrelease:FreshreleaseIssue:2:10079,freshrelease:FreshreleaseAccount:2:5ecfbd0a47d31e0c2a15fd87,
freshrelease:FreshreleaseIssue:2:10081,freshrelease:FreshreleaseAccount:2:5ecfbd0aaa47a00c1997ea8e,
freshrelease:FreshreleaseIssue:2:10082,freshrelease:FreshreleaseAccount:2:5ecfbd0984083c0c12e5af8f,
freshrelease:FreshreleaseIssue:2:10085,freshrelease:FreshreleaseAccount:2:5ecfbd0a47d31e0c2a15fd87,
freshrelease:FreshreleaseIssue:2:10086,freshrelease:FreshreleaseAccount:2:5ecfbd0aaa47a00c1997ea8e,
freshrelease:FreshreleaseIssue:2:10087,freshrelease:FreshreleaseAccount:2:5ecfbd0c730ec90c1999cadf,
freshrelease:FreshreleaseIssue:2:10088,freshrelease:FreshreleaseAccount:2:5ecfbd0a47d31e0c2a15fd87,
freshrelease:FreshreleaseIssue:2:10089,freshrelease:FreshreleaseAccount:2:5ecfbd0ba04d9c0c220c18d8,
freshrelease:FreshreleaseIssue:2:10090,freshrelease:FreshreleaseAccount:2:5ecfbd0c730ec90c1999cadf,
freshrelease:FreshreleaseIssue:2:10091,freshrelease:FreshreleaseAccount:2:5ecfbd0c730ec90c1999cadf,
freshrelease:FreshreleaseIssue:2:10092,freshrelease:FreshreleaseAccount:2:5ecfbd0a47d31e0c2a15fd87,
freshrelease:FreshreleaseIssue:2:10093,freshrelease:FreshreleaseAccount:2:5ecfbd0ba04d9c0c220c18d8,
freshrelease:FreshreleaseIssue:2:10094,freshrelease:FreshreleaseAccount:2:5ecfbd0c730ec90c1999cadf,
freshrelease:FreshreleaseIssue:2:10095,freshrelease:FreshreleaseAccount:2:5ecfbd0984083c0c12e5af8f,
freshrelease:FreshreleaseIssue:2:10096,freshrelease:FreshreleaseAccount:2:5ecfbd0c730ec90c1999cadf,
freshrelease:FreshreleaseIssue:2:10097,freshrelease:FreshreleaseAccount:2:5ecfbd0a47d31e0c2a15fd87,
freshrelease:FreshreleaseIssue:2:10098,freshrelease:FreshreleaseAccount:2:5ecfbd0ba04d9c0c220c18d8,
freshrelease:FreshreleaseIssue:2:10099,freshrelease:FreshreleaseAccount:2:5ecfbd0c730ec90c1999cadf,
